service,endpoint,http,rows_returned,total_count,note
/odata/v4/purchase-order,PurchaseOrders,200,3,2780,"sample keys with values: PurchaseOrder,PurchaseOrderType,CreatedByUser,CreationDate,PurchaseOrderDate,PurchasingCompletenessStatus,CompanyCode,CompanyCodeName"
/odata/v4/purchase-order,PurchaseOrderItems,200,3,6136,"sample keys with values: PurchaseOrder,PurchaseOrderItem,Material,MaterialGroup,Plant,PlantName,PurchaseOrderItemText,FirstDeliveryDate"
/odata/v4/purchase-order,DocumentTypeVH,200,0,0,EMPTY - 0 rows
/odata/v4/purchase-order,SupplierVH,200,3,4376,"sample keys with values: Supplier,CompanyCode,SupplierName,Country,CityName,PostalCode,Region,SortField"
/odata/v4/purchase-order,CompanyCodeVH,200,3,69,"sample keys with values: CompanyCode,CompanyCodeName"
/odata/v4/purchase-order,PurchasingOrgVH,200,3,9,"sample keys with values: PurchasingOrganization,PurchasingOrganizationName"
/odata/v4/purchase-order,PurchasingGroupVH,200,3,44,"sample keys with values: PurchasingGroup,PurchasingGroupName,PurchasingGroupPhoneNumber"
/odata/v4/purchase-order,MaterialVH,200,3,151988,"sample keys with values: Material,Plant,ProductExternalID,PlantName,MaterialGroup,MaterialGroupName,MaterialType,MaterialTypeName"
/odata/v4/purchase-order,PlantVH,200,3,76,"sample keys with values: Plant,PurchasingOrganization,PlantName,PurchasingOrganizationName"
/odata/v4/purchase-order,StorageLocationVH,200,3,696,"sample keys with values: StorageLocation,Plant,StorageLocationName,PlantName"
/odata/v4/purchase-order,MaterialGroupVH,200,3,258,"sample keys with values: MaterialGroup,MaterialGroupName"
/odata/v4/purchase-order,IncotermsClassificationVH,200,3,21,"sample keys with values: IncotermsClassification,IncotermsClassificationName"
/odata/v4/purchase-order,PaymentTermsVH,200,3,49,"sample keys with values: PaymentTerms,PaymentTermsValidityMonthDay,PaymentTermsName,PaytTrmsCndnExplanationText,CashDiscount1Days,CashDiscount1Percent,CashDiscount2Days,CashDiscount2Percent"
/odata/v4/purchase-order,CurrencyVH,200,3,222,"sample keys with values: Currency,Currency_Text"
/odata/v4/purchase-order,UnitOfMeasureVH,200,3,392,"sample keys with values: UnitOfMeasure,UnitOfMeasure_Text,UnitOfMeasureSAPCode,UnitOfMeasureISOCode,UnitOfMeasureIsCommercial,UnitOfMeasureDimension,SIUnitCnvrsnRateNumerator,SIUnitCnvrsnRateDenominator"
/odata/v4/purchase-order,TaxCodeVH,200,3,1501,"sample keys with values: TaxCalculationProcedure,TaxCode,TaxCode_Text,TaxType,TaxTolerancePercent"
/odata/v4/purchase-order,GLAccountVH,200,3,33784,"sample keys with values: GLAccount,GLAccount_Text,CompanyCode,GLAccountExternal,ChartOfAccounts,GLAccountGroup,GLAccountType"
/odata/v4/purchase-order,CostCenterVH,200,3,952,"sample keys with values: CostCenter,ControllingArea,ControllingArea_Text,ValidityEndDate,CostCenterName,CompanyCode,CostCenterCategory,CostCtrResponsiblePersonName"
/odata/v4/purchase-order,ProfitCenterVH,200,3,103,"sample keys with values: ControllingArea,ProfitCenter,ProfitCenter_Text,ValidityEndDate,ValidityStartDate"
/odata/v4/purchase-order,FixedAssetVH,200,3,304,"sample keys with values: CompanyCode,MasterFixedAsset,MasterFixedAssetDescription"
/odata/v4/purchase-order,WBSElementVH,200,3,489,"sample keys with values: WBSElementInternalID,WBSElementExternalID,WBSDescription,ProjectInternalID"
/odata/v4/purchase-order,InternalOrderVH,200,3,141,"sample keys with values: InternalOrder,InternalOrderDescription"
/odata/v4/purchase-order,PurchaseContractVH,200,3,24,"sample keys with values: PurchaseContract,Supplier,DocumentCurrency,ValidityStartDate,ValidityEndDate,PurchasingOrganization,PurchasingGroup"
/odata/v4/purchase-order,getDashboardMetrics(),200,,,"{""@odata.context"":""$metadata#Edm.String"",""value"":""{\""totalCount\"":2780,\""supplierCount\"":4376,\""productCount\"":151988,\""fiDocCount\"":174153,\""salesInquiryCount\"":629,\""cu"
/odata/v4/journal-entry,JournalEntryItems,200,3,174153,"sample keys with values: AccountingDocumentItem,SourceCompanyCode,FiscalYear,AccountingDocument,CompanyCode,GLAccount,GLAccountName,DocumentItemText"
/odata/v4/sales-inquiry,SalesInquiries,200,3,629,"sample keys with values: SalesInquiry,SalesInquiryType,SoldToParty,PurchaseOrderByCustomer,OverallSDDocumentRejectionSts,CreationDate,SalesInquiryDate,TransactionCurrency"
/odata/v4/sales-inquiry,SalesInquiryItems,200,3,628,"sample keys with values: SalesInquiry,SalesInquiryItem,SalesInquiryItemText,MaterialName,SoldToParty,SalesDocumentRjcnReasonName,OrderQuantity,OrderQuantityUnit"
/odata/v4/sales-inquiry,SalesInquiryTypeVH,200,10,0,"sample keys with values: SalesDocumentType,SalesDocumentType_Text,SalesDocumentTypeName,SDDocumentCategory,SDDocumentCategoryName,IsLocked,StatusText,StatusState"
/odata/v4/sales-inquiry,SalesOrganizationVH,200,3,4,"sample keys with values: SalesOrganization,SalesOrganization_Text,SalesOrganizationCurrency,CompanyCode"
/odata/v4/sales-inquiry,DistributionChannelVH,200,3,16,"sample keys with values: SalesOrganization,DistributionChannel,DistributionChannelName"
/odata/v4/sales-inquiry,DivisionVH,200,3,64,"sample keys with values: SalesOrganization,DistributionChannel,Division,DivisionName"
/odata/v4/sales-inquiry,SalesOfficeVH,200,3,109,"sample keys with values: SalesOrganization,DistributionChannel,OrganizationDivision,SalesOffice,SalesOfficeName"
/odata/v4/sales-inquiry,SalesGroupVH,200,3,22,"sample keys with values: SalesOffice,SalesGroup,SalesGroupName"
/odata/v4/sales-inquiry,SoldToPartyVH,200,3,891,"sample keys with values: Customer,CustomerName,OrganizationBPName1,OrganizationBPName2,BusinessPartnerImageURL,PostalCode,CityName,Country"
/odata/v4/sales-inquiry,CustomerVH,200,3,891,"sample keys with values: Customer,OrganizationBPName1,BusinessPartnerName1,OrganizationBPName2,BusinessPartnerName2,Country,CityName,BPAddrCityName"
/odata/v4/sales-inquiry,MaterialVH,200,132,132,"sample keys with values: Material,Material_Text,MaterialType,MaterialGroup,MaterialBaseUnit,MaterialName"
/odata/v4/sales-inquiry,CurrencyVH,200,3,222,"sample keys with values: Currency,Currency_Text"
/odata/v4/sales-inquiry,UnitOfMeasureVH,200,3,392,"sample keys with values: UnitOfMeasure,UnitOfMeasure_Text,UnitOfMeasureSAPCode,UnitOfMeasureISOCode,UnitOfMeasureIsCommercial,UnitOfMeasureDimension,SIUnitCnvrsnRateNumerator,SIUnitCnvrsnRateDenominator"
/odata/v4/sales-inquiry,PlantVH,200,2,76,"sample keys with values: Plant,PurchasingOrganization,PlantName,PurchasingOrganizationName"
/odata/v4/sales-inquiry,getSalesInquiryDefaults(),200,,,"{""@odata.context"":""$metadata#SalesInquiryService.return_SalesInquiryService_getSalesInquiryDefaults"",""SalesInquiryType"":""ZIN"",""SalesOrganization"":""1000"",""DistributionChan"
/odata/v4/sales-inquiry,getInquiryCreationCapabilities(),200,,,"{""@odata.context"":""$metadata#SalesInquiryService.return_SalesInquiryService_getInquiryCreationCapabilities"",""service"":""LORD_ODATA_ORDER_SRV"",""CustomerGroup2"":false,""PortO"
/odata/v4/sales-inquiry,getSalesOrderMetrics(),200,,,"{""@odata.context"":""$metadata#SalesInquiryService.return_SalesInquiryService_getSalesOrderMetrics"",""openOrdersCount"":501,""totalOrdersCount"":883}"
/odata/v4/warehouse-management,Warehouses,200,26,0,"sample keys with values: Warehouse,WarehouseName,IsEwm"
/odata/v4/warehouse-management,WarehouseProcessTypes,400,,,Warehouse parameter or filter is required
/odata/v4/warehouse-management,StorageTypes,400,,,Warehouse parameter or filter is required
/odata/v4/warehouse-management,StorageBins,400,,,Warehouse parameter or filter is required
/odata/v4/warehouse-management,WarehouseOrders,400,,,Warehouse parameter or filter is required
/odata/v4/warehouse-management,WarehouseTasks,400,,,Warehouse parameter or filter is required
/odata/v4/warehouse-management,InboundDeliveries,400,,,Warehouse parameter or filter is required
/odata/v4/warehouse-management,InboundDeliveryItems,501,,,"Entity ""saps4hana.ewm.WarehouseManagementService.InboundDeliveryItems"" is annotated with ""@cds.persistence.skip"" and cannot be served generically."
