code,service,path,message
/IWFND/CM_COS/064,/BDTS/COMMAND_SRV,/sap/opu/odata/bdts/COMMAND_SRV,No System Alias found for Service '/BDTS/COMMAND_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/BDTS/INSTALLED_SAP_NOTE_SRV,/sap/opu/odata/bdts/INSTALLED_SAP_NOTE_SRV,No System Alias found for Service '/BDTS/INSTALLED_SAP_NOTE_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/BDTS/PRESEL_TAB_DATA_SRV,/sap/opu/odata/bdts/PRESEL_TAB_DATA_SRV,No System Alias found for Service '/BDTS/PRESEL_TAB_DATA_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/BDTS/PRESEL_TAB_READ_NAME_SRV,/sap/opu/odata/bdts/PRESEL_TAB_READ_NAME_SRV,No System Alias found for Service '/BDTS/PRESEL_TAB_READ_NAME_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/BDTS/PRESEL_TASK_IS_CREATED_SRV,/sap/opu/odata/bdts/PRESEL_TASK_IS_CREATED_SRV,No System Alias found for Service '/BDTS/PRESEL_TASK_IS_CREATED_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/BDTS/PRESEL_TASK_PORTION_SRV,/sap/opu/odata/bdts/PRESEL_TASK_PORTION_SRV,No System Alias found for Service '/BDTS/PRESEL_TASK_PORTION_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/BDTS/PRESEL_TASK_READ_STATUS_SRV,/sap/opu/odata/bdts/PRESEL_TASK_READ_STATUS_SRV,No System Alias found for Service '/BDTS/PRESEL_TASK_READ_STATUS_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/BDTS/SOFTWARE_COMPONENT_SRV,/sap/opu/odata/bdts/SOFTWARE_COMPONENT_SRV,No System Alias found for Service '/BDTS/SOFTWARE_COMPONENT_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/BDTS/TABLE_FIELD_STRUCTUR_SRV,/sap/opu/odata/bdts/TABLE_FIELD_STRUCTUR_SRV,No System Alias found for Service '/BDTS/TABLE_FIELD_STRUCTUR_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/IWBEP/BATCH_AT_ONCE_TEST,/sap/opu/odata/iwbep/BATCH_AT_ONCE_TEST,No System Alias found for Service '/IWBEP/ZTEA_BATCH_AT_ONCE_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/IWBEP/MESSAGE_TEXT,/sap/opu/odata/iwbep/MESSAGE_TEXT,No System Alias found for Service 'ZMESSAGE_TEXT_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/IWBEP/TEA_TEST_COMP_APP,/sap/opu/odata/iwbep/TEA_TEST_COMP_APP,No System Alias found for Service '/IWBEP/TEA_TEST_COMP_APP_0001' and user 'KHUSHAL'
/IWFND/CM_COS/086,/IWBEP/TEA_TEST_REUSE_APP,/sap/opu/odata/iwbep/TEA_TEST_REUSE_APP,Direct execution of inherited service '/IWBEP/TEA_TEST_REUSE_APP_0001' is not allowed
/IWFND/CM_COS/064,/IWFND/GWDEMO_SP2,/sap/opu/odata/iwbep/GWDEMO_SP2,No System Alias found for Service '/IWFND/GWDEMO_SP2_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/IWFND/SG_MGW_NOTIF_STORE,/sap/opu/odata/iwfnd/NOTIFICATIONSTORE,No System Alias found for Service '/IWFND/SG_MGW_NOTIF_STORE_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/IWFND/SUBSCRIPTIONMANAGEMENT,/sap/opu/odata/iwbep/SUBSCRIPTIONMANAGEMENT;v=0002,No System Alias found for Service '/IWFND/SUBSCRIPTIONMANAGEMENT_0002' and user 'KHUSHAL'
/IWFND/CM_COS/064,/IWFND/USAGEEXTRACTOR,/sap/opu/odata/iwfnd/USAGEEXTRACTOR,No System Alias found for Service '/IWFND/USAGEEXTRACTOR_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING,No System Alias found for Service 'ZTASKPROCESSING_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/SCWM/USER_DEFAULTPARAMETER_SRV,/sap/opu/odata/scwm/USER_DEFAULTPARAMETER_SRV,No System Alias found for Service 'ZUSER_DEFAULTPARAMETER_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,/SOMO/MA_ODATA_SRV,/sap/opu/odata/somo/MA_ODATA_SRV,No System Alias found for Service '/SOMO/MA_ODATA_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,ADT_SRV,/sap/opu/odata/sap/ADT_SRV,No System Alias found for Service 'ADT_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,API_SALES_ORDER_SRV,/sap/opu/odata/sap/API_SALES_ORDER_SRV,No System Alias found for Service 'ZAPI_SALES_ORDER_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,API_SALES_QUOTATION_SRV,/sap/opu/odata/sap/API_SALES_QUOTATION_SRV,No System Alias found for Service 'ZAPI_SALES_QUOTATION_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,BSANLY_APF_RUNTIME_SRV,/sap/opu/odata/sap/BSANLY_APF_RUNTIME_SRV,No System Alias found for Service 'ZBSANLY_APF_RUNTIME_SRV_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,C_BILLGPROCDOCWORKFLOWVH_CDS,/sap/opu/odata/sap/C_BILLGPROCDOCWORKFLOWVH_CDS,No System Alias found for Service 'ZC_BILLGPROCDOCWORKFLOWVH_CDS_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,C_LQDYFORECASTOVERVIEW_CDS,/sap/opu/odata/sap/C_LQDYFORECASTOVERVIEW_CDS,No System Alias found for Service 'ZC_LQDYFORECASTOVERVIEW_CDS_0001' and user 'KHUSHAL'
/IWFND/CM_COS/064,C_MAINTOBJBREAKDOWNQUERY_CDS,/sap/opu/odata/sap/C_MAINTOBJBREAKDOWNQUERY_CDS,No System Alias found for Service 'ZC_MAINTOBJBREAKDOWNQUERY_CDS_0001' and user 'KHUSHAL'
