service,path,entityset,rows,verdict,detail
/IWFND/SG_MED_CATALOG,/sap/opu/odata/iwfnd/CATALOGSERVICE,CatalogCollection,,ERROR,http 500  No service found for namespace /IWFND/; name CATALOGSERVICE; version 0001
/IWFND/SG_MED_CATALOG,/sap/opu/odata/iwfnd/CATALOGSERVICE,ServiceCollection,,ERROR,http 500  No service found for namespace /IWFND/; name CATALOGSERVICE; version 0001
/IWFND/SG_MED_CATALOG,/sap/opu/odata/iwfnd/CATALOGSERVICE,BestMatchingService(),,NOT_COUNTABLE,function/action import - not countable
/IWFND/SG_USER_SERVICE,/sap/opu/odata/iwfnd/USERSERVICE,AddressCollection,,ERROR,http 400 /IWFND/CM_MGW/051 Resource not found for the segment 'AddressCollection'
/IWFND/SG_USER_SERVICE,/sap/opu/odata/iwfnd/USERSERVICE,RoleCollection,,ERROR,http 400 /IWFND/CM_MGW/052 Enter a user name
/IWFND/SG_USER_SERVICE,/sap/opu/odata/iwfnd/USERSERVICE,UserCollection,276,DATA,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,AttachmentCollection,,ERROR,http 400  The collection AttachmentCollection is not addressable
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,CommentCollection,,ERROR,http 400  The collection CommentCollection is not addressable
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,ConsumerScenarioCollection,12,DATA,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,CustomAttributeCollection,0,EMPTY,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,CustomAttributeDefinitionCollection,0,EMPTY,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,FilterOptionCollection,61,DATA,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,NotificationCollection,0,EMPTY,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,ProcessingLogCollection,,ERROR,http 400  The collection ProcessingLogCollection is not addressable
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,ScenarioCollection,4,DATA,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,SubscriptionCollection,0,EMPTY,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,SubstitutedUsersCollection,0,EMPTY,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,SubstitutesRuleCollection,0,EMPTY,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,SubstitutionProfileCollection,3,DATA,
/IWPGW/TASKPROCESSING,/sap/opu/odata/iwpgw/TASKPROCESSING;v=0002,SubstitutionRuleCollection,0,EMPTY,
