rows,path,note
n/a,/sap/opu/odata/sap/API_MATERIAL_DOCUMENT_SRV/A_MaterialDocumentHeader,/IWFND/MED/170: No service found for namespace ''; name 'API_MATERIAL_DOCUME
1,/sap/opu/odata/sap/API_WAREHOUSE/Warehouse,
n/a,/sap/opu/odata/sap/API_WAREHOUSE_ORDER_TASK/CancelWarehouseTask,not-countable: The request URI is not valid. The segment 'CancelWarehouseTa
n/a,/sap/opu/odata/sap/API_WAREHOUSE_ORDER_TASK/ConfirmWarehouseTaskExact,not-countable: The request URI is not valid. The segment 'ConfirmWarehouseT
0,/sap/opu/odata/sap/API_WAREHOUSE_ORDER_TASK/WarehouseOrder,EMPTY
0,/sap/opu/odata/sap/API_WAREHOUSE_ORDER_TASK/WarehouseTask,EMPTY
0,/sap/opu/odata/sap/API_WAREHOUSE_RESOURCE/WarehouseResource,EMPTY
0,/sap/opu/odata/sap/API_WAREHOUSE_STORAGE_BIN/WarehouseStorageBin,EMPTY
n/a,/sap/opu/odata/sap/API_WHSE_INBOUND_DELIVERY/PostGoodsReceipt,not-countable: The request URI is not valid. The segment 'PostGoodsReceipt'
0,/sap/opu/odata/sap/API_WHSE_INBOUND_DELIVERY/WhseInboundDeliveryHead,EMPTY
n/a,/sap/opu/odata/sap/API_WHSE_OUTB_DLV_ORDER/PostGoodsIssue,not-countable: The request URI is not valid. The segment 'PostGoodsIssue' m
0,/sap/opu/odata/sap/API_WHSE_OUTB_DLV_ORDER/WhseOutboundDeliveryOrderHead,EMPTY
696,/sap/opu/odata/sap/C_PURCHASEORDER_FS_SRV/C_MM_StorLocValueHelp,
24,/sap/opu/odata/sap/C_PURCHASEORDER_FS_SRV/C_PurchaseContractValHelp,
2780,/sap/opu/odata/sap/C_PURCHASEORDER_FS_SRV/C_PurchaseOrderFs,
952,/sap/opu/odata/sap/C_PURCHASEORDER_FS_SRV/I_CostCenterVH,
33784,/sap/opu/odata/sap/C_PURCHASEORDER_FS_SRV/I_GLAccountStdVH,
141,/sap/opu/odata/sap/C_PURCHASEORDER_FS_SRV/I_InternalOrderStdVH,
304,/sap/opu/odata/sap/C_PURCHASEORDER_FS_SRV/I_MasterFixedAssetStdVH,
103,/sap/opu/odata/sap/C_PURCHASEORDER_FS_SRV/I_ProfitCenterStdVH,
489,/sap/opu/odata/sap/C_PURCHASEORDER_FS_SRV/I_WBSElementBasicDataStdVH,
n/a,/sap/opu/odata/sap/C_STOCKQUANTITYVALUEBYTYPE_CDS/C_STOCKQUANTITYVALUEBYTYPE,not-countable: Mandatory filter Plant is missing
174153,/sap/opu/odata/sap/FAC_GL_JOURNALENTRY_VER_SRV/C_GLJrnlEntryItemToBeVerified,
25,/sap/opu/odata/sap/LE_SHP_OD_LIST_SRV/I_WarehouseStdVH,
40,/sap/opu/odata/sap/LE_SHP_WHSE_CLERK_OVP_SRV/C_WhseClerkInbDeliv,
740,/sap/opu/odata/sap/LE_SHP_WHSE_CLERK_OVP_SRV/C_WhseClerkOutbDeliv,
39989,/sap/opu/odata/sap/LO_BM_BATCH_SRV/I_Batch,
17,/sap/opu/odata/sap/MMIM_GR4PO_DL_SRV/HMmimGr4inbdelSet,
891,/sap/opu/odata/sap/MMIM_GR4PO_DL_SRV/MMIMProductionOrderVH,
6112,/sap/opu/odata/sap/MMIM_GR4PO_DL_SRV/PoHelpSet,
0,/sap/opu/odata/sap/MMIM_MATERIAL_DATA_SRV/MaterialHeaders,EMPTY
0,/sap/opu/odata/sap/MMIM_MATERIAL_DATA_SRV/MaterialStorLocHelps,EMPTY
69,/sap/opu/odata/sap/MM_PUR_PO_MAINT_V2_SRV/C_MM_CompanyCodeValueHelp,
258,/sap/opu/odata/sap/MM_PUR_PO_MAINT_V2_SRV/C_MM_MaterialGroupValueHelp,
151988,/sap/opu/odata/sap/MM_PUR_PO_MAINT_V2_SRV/C_MM_MaterialValueHelp,
76,/sap/opu/odata/sap/MM_PUR_PO_MAINT_V2_SRV/C_MM_PlantValueHelp,
696,/sap/opu/odata/sap/MM_PUR_PO_MAINT_V2_SRV/C_MM_StorLocValueHelp,
4376,/sap/opu/odata/sap/MM_PUR_PO_MAINT_V2_SRV/C_MM_SupplierValueHelp,
44,/sap/opu/odata/sap/MM_PUR_PO_MAINT_V2_SRV/C_PurchasingGroupValueHelp,
9,/sap/opu/odata/sap/MM_PUR_PO_MAINT_V2_SRV/C_PurchasingOrgValueHelp,
883,/sap/opu/odata/sap/SD_F1873_SO_WL_SRV/C_SalesOrderWl_F1873,
629,/sap/opu/odata/sap/SD_F2370_INQY_WL_SRV/C_InquiryWL_F2370,
891,/sap/opu/odata/sap/SD_F2370_INQY_WL_SRV/I_Customer_VH,
14730,/sap/opu/odata/sap/UI_RESERVATION_ITM_MNG_V2/ReservationDocumentItem,
6677,/sap/opu/odata/sap/ZAPI_GETBUPA_SRV/BusinessPartnerSet,
n/a,/sap/opu/odata/scwm/PICKCART_SRV/LogonRSRC,not-countable: The request URI is not valid. The segment 'LogonRSRC' must b
0,/sap/opu/odata/scwm/PICKCART_SRV/WarehouseTaskSet,EMPTY
33,/sap/opu/odata/scwm/WAREHOUSE_KPIS_SRV/I_EWM_WhseProcTypeVH,
